No,FieldIndex,Piece,TargetYN,ListYN,IsLeaf,SourceType,IsEnum,MaxChars,Title,Description,Rules,Depth,L1,L2,L3,L4,L5,L6,L7,Idx,Type
42,protocolSection.statusModule.studyFirstPostDateStruct.date,StudyFirstPostDate,N,N,Y,DATE,N,,Study First Posted Date,The date on which the study record was first available on ClinicalTrials.gov after National Library of Medicine (NLM) quality control (QC) review has concluded. There is typically a delay of a few days between the date the study sponsor or investigator submitted the study record and the first posted date.,System generated,4,protocolSection,statusModule,studyFirstPostDateStruct,date,,,,1.1.1.1,DATE - NormalizedDate
43,protocolSection.statusModule.studyFirstPostDateStruct.type,StudyFirstPostDateType,N,N,Y,TEXT,Y,,First Study Posted Date Type,,System generated,4,protocolSection,statusModule,studyFirstPostDateStruct,type,,,,1.1.1.1,TEXT - DateType
44,protocolSection.statusModule.resultsWaived,ResultsWaived,N,N,Y,BOOLEAN,N,,,,,3,protocolSection,statusModule,resultsWaived,,,,,1.1.1,BOOLEAN - boolean
45,protocolSection.statusModule.resultsFirstSubmitDate,ResultsFirstSubmitDate,N,N,Y,DATE,N,,Results First Submitted Date,The date on which the study sponsor or investigator first submits a study record with summary results information. There is typically a delay between the results first submitted date and when summary results information becomes available on ClinicalTrials.gov (the results first posted date).,System generated,3,protocolSection,statusModule,resultsFirstSubmitDate,,,,,1.1.1,DATE - NormalizedDate
46,protocolSection.statusModule.resultsFirstSubmitQcDate,ResultsFirstSubmitQCDate,N,N,Y,DATE,N,,Results First Submitted that Met QC Criteria,The date on which the study sponsor or investigator first submits a study record with summary results information that is consistent with National Library of Medicine (NLM) quality control (QC) review criteria. The sponsor or investigator may need to revise and submit results information one or more times before NLM's QC review criteria are met. It is the responsibility of the sponsor or investigator to ensure that the study record is consistent with the NLM QC review criteria.,System generated,3,protocolSection,statusModule,resultsFirstSubmitQcDate,,,,,1.1.1,DATE - NormalizedDate
47,protocolSection.statusModule.resultsFirstPostDateStruct,ResultsFirstPostDateStruct,N,N,N,STRUCT,N,,,,,3,protocolSection,statusModule,resultsFirstPostDateStruct,,,,,1.1.1,STRUCT - DateStruct
48,protocolSection.statusModule.resultsFirstPostDateStruct.date,ResultsFirstPostDate,N,N,Y,DATE,N,,Results First Posted Date,The date on which summary results information was first available on ClinicalTrials.gov after National Library of Medicine (NLM) quality control (QC) review has concluded. There is typically a delay between the date the study sponsor or investigator first submits summary results information (the results first submitted date) and the results first posted date. Some results information may be available at an earlier date if Results First Posted with QC Comments.,System generated,4,protocolSection,statusModule,resultsFirstPostDateStruct,date,,,,1.1.1.1,DATE - NormalizedDate
49,protocolSection.statusModule.resultsFirstPostDateStruct.type,ResultsFirstPostDateType,N,N,Y,TEXT,Y,,Results First Posted Date Type,"Results first posted date type. Due to historical reason, some studies have date type ""Estimate""",System generated,4,protocolSection,statusModule,resultsFirstPostDateStruct,type,,,,1.1.1.1,TEXT - DateType
50,protocolSection.statusModule.dispFirstSubmitDate,DispFirstSubmitDate,N,N,Y,DATE,N,,Certification/Extension (aka Delayed Results) First Submitted Date,"The date on which the study sponsor or investigator first submitted a certification or an extension request to delay submission of results. A sponsor or investigator who submits a certification can delay results submission up to 2 years after this date, unless certain events occur sooner. There is typically a delay between the date the certification or extension request was submitted and the date the information is first available on ClinicalTrials.gov (certification/extension first posted).",System generated,3,protocolSection,statusModule,dispFirstSubmitDate,,,,,1.1.1,DATE - NormalizedDate
51,protocolSection.statusModule.dispFirstSubmitQcDate,DispFirstSubmitQCDate,N,N,Y,DATE,N,,Certification/Extension First Submitted that Passed QC Review,Certification/extension first submitted that met QC criteria,System generated,3,protocolSection,statusModule,dispFirstSubmitQcDate,,,,,1.1.1,DATE - NormalizedDate
52,protocolSection.statusModule.dispFirstPostDateStruct,DispFirstPostDateStruct,N,N,N,STRUCT,N,,,,,3,protocolSection,statusModule,dispFirstPostDateStruct,,,,,1.1.1,STRUCT - DateStruct
53,protocolSection.statusModule.dispFirstPostDateStruct.date,DispFirstPostDate,N,N,Y,DATE,N,,Certification/Extension First Posted Date,The date on which information about a certification to delay submission of results or an extension request was first available on ClinicalTrials.gov. ClinicalTrials.gov does not indicate whether the submission was a certification or extension request. There is typically a delay between the date the study sponsor or investigator submitted the certification or extension request and the first posted date.,System generated,4,protocolSection,statusModule,dispFirstPostDateStruct,date,,,,1.1.1.1,DATE - NormalizedDate
54,protocolSection.statusModule.dispFirstPostDateStruct.type,DispFirstPostDateType,N,N,Y,TEXT,Y,,Certification/Extension First Posted Date Type,"Due to data requirements and collections over the years, some studies might have ""Estimate"" dates",System generated,4,protocolSection,statusModule,dispFirstPostDateStruct,type,,,,1.1.1.1,TEXT - DateType
55,protocolSection.statusModule.lastUpdateSubmitDate,LastUpdateSubmitDate,N,N,Y,DATE,N,,Last Update Submitted Date,The most recent date on which the study sponsor or investigator submitted changes to a study record to ClinicalTrials.gov. There is typically a delay of a few days between the last update submitted date and when the date changes are posted on ClinicalTrials.gov (the last update posted date).,System generated,3,protocolSection,statusModule,lastUpdateSubmitDate,,,,,1.1.1,DATE - NormalizedDate
56,protocolSection.statusModule.lastUpdatePostDateStruct,LastUpdatePostDateStruct,N,N,N,STRUCT,N,,,Data structure for last update posted,,3,protocolSection,statusModule,lastUpdatePostDateStruct,,,,,1.1.1,STRUCT - DateStruct
57,protocolSection.statusModule.lastUpdatePostDateStruct.date,LastUpdatePostDate,N,N,Y,DATE,N,,Last Update Posted Date,The most recent date on which changes to a study record were made available on ClinicalTrials.gov. There may be a delay between when the changes were submitted to ClinicalTrials.gov by the study's sponsor or investigator (the last update submitted date) and the last update posted date.,System generated,4,protocolSection,statusModule,lastUpdatePostDateStruct,date,,,,1.1.1.1,DATE - NormalizedDate
58,protocolSection.statusModule.lastUpdatePostDateStruct.type,LastUpdatePostDateType,N,N,Y,TEXT,Y,,Last Update Posted Date Type,"Due to data requirements and collections over the years, some studies might have ""Estimate"" dates",System generated,4,protocolSection,statusModule,lastUpdatePostDateStruct,type,,,,1.1.1.1,TEXT - DateType
59,protocolSection.sponsorCollaboratorsModule,SponsorCollaboratorsModule,N,N,N,STRUCT,N,,,,,2,protocolSection,sponsorCollaboratorsModule,,,,,,1.1,STRUCT - SponsorCollaboratorsModule
60,protocolSection.sponsorCollaboratorsModule.responsibleParty,ResponsibleParty,N,N,N,STRUCT,N,,Responsible Party,,,3,protocolSection,sponsorCollaboratorsModule,responsibleParty,,,,,1.1.1,STRUCT - ResponsibleParty
61,protocolSection.sponsorCollaboratorsModule.responsibleParty.type,ResponsiblePartyType,N,N,Y,TEXT,Y,,Responsible Party Type,,"Required for INT/OBS/EA for FRED.
 Redacted for Withheld studies",4,protocolSection,sponsorCollaboratorsModule,responsibleParty,type,,,,1.1.1.1,TEXT - ResponsiblePartyType
62,protocolSection.sponsorCollaboratorsModule.responsibleParty.investigatorFullName,ResponsiblePartyInvestigatorFullName,N,N,Y,TEXT,N,,Responsible Party Investigator Full Name,,"Required if the Responsible Party is either ""Principal Investigator"" or ""Sponsor-Investigator"".
 Select from PRS user accounts associated with the organization
 The Investigator Name (i.e., the Full Name from the PRS account record) must be a person's full name for display on ClinicalTrials.gov.
 Redacted for Withheld studies",4,protocolSection,sponsorCollaboratorsModule,responsibleParty,investigatorFullName,,,,1.1.1.1,TEXT - text
63,protocolSection.sponsorCollaboratorsModule.responsibleParty.investigatorTitle,ResponsiblePartyInvestigatorTitle,N,N,Y,TEXT,N,254,Responsible Party Investigator Title,,"Required if the Responsible Party is either ""Principal Investigator"" or ""Sponsor-Investigator"".
 Redacted for Withheld studies",4,protocolSection,sponsorCollaboratorsModule,responsibleParty,investigatorTitle,,,,1.1.1.1,TEXT (max 254 chars) - text
64,protocolSection.sponsorCollaboratorsModule.responsibleParty.investigatorAffiliation,ResponsiblePartyInvestigatorAffiliation,N,N,Y,TEXT,N,160,Responsible Party Investigator Affiliation,,"Required if the Responsible Party is either ""Principal Investigator"" or ""Sponsor-Investigator"".
 Redacted for Withheld studies",4,protocolSection,sponsorCollaboratorsModule,responsibleParty,investigatorAffiliation,,,,1.1.1.1,TEXT (max 160 chars) - text
65,protocolSection.sponsorCollaboratorsModule.responsibleParty.oldNameTitle,ResponsiblePartyOldNameTitle,N,N,Y,TEXT,N,,Older format for Responsible Party Investigator Title,,[Redacted] for Withheld studies,4,protocolSection,sponsorCollaboratorsModule,responsibleParty,oldNameTitle,,,,1.1.1.1,TEXT - text
66,protocolSection.sponsorCollaboratorsModule.responsibleParty.oldOrganization,ResponsiblePartyOldOrganization,N,N,Y,TEXT,N,,Older format for Responsible Party Investigator Organization,,[Redacted] for Withheld studies,4,protocolSection,sponsorCollaboratorsModule,responsibleParty,oldOrganization,,,,1.1.1.1,TEXT - text
67,protocolSection.sponsorCollaboratorsModule.leadSponsor,LeadSponsor,N,N,N,STRUCT,N,,Lead Sponsor,The organization or person who initiates the study and who has authority and control over the study.,"Required for INT/Obs/EA
 [Redacted] for Withheld studies",3,protocolSection,sponsorCollaboratorsModule,leadSponsor,,,,,1.1.1,STRUCT - Sponsor
68,protocolSection.sponsorCollaboratorsModule.leadSponsor.name,LeadSponsorName,N,N,Y,TEXT,N,160,Lead Sponsor Name,,[Redacted] for Withheld studies,4,protocolSection,sponsorCollaboratorsModule,leadSponsor,name,,,,1.1.1.1,TEXT (max 160 chars) - text
69,protocolSection.sponsorCollaboratorsModule.leadSponsor.class,LeadSponsorClass,N,N,Y,TEXT,Y,,Lead Sponsor Type,Sponsor organization type: Type of lead sponsor,Required. Stored in PRS Agency Service(?) [Redacted] for Withheld studies,4,protocolSection,sponsorCollaboratorsModule,leadSponsor,class,,,,1.1.1.1,TEXT - AgencyClass
70,protocolSection.sponsorCollaboratorsModule.collaborators,Collaborator,N,Y,N,STRUCT,N,,Collaborator,"Other organizations, if any, providing support. Support may include funding, design, implementation, data analysis or reporting. The responsible party is responsible for confirming all collaborators before listing them",,3,protocolSection,sponsorCollaboratorsModule,collaborators,,,,,1.1.1,STRUCT - Sponsor[]
71,protocolSection.sponsorCollaboratorsModule.collaborators.name,CollaboratorName,N,N,Y,TEXT,N,160,Collaborator Name,,,4,protocolSection,sponsorCollaboratorsModule,collaborators,name,,,,1.1.1.1,TEXT (max 160 chars) - text
72,protocolSection.sponsorCollaboratorsModule.collaborators.class,CollaboratorClass,N,N,Y,TEXT,Y,,Collaborator Type,Type of collaborator,Redacted for Withheld studies,4,protocolSection,sponsorCollaboratorsModule,collaborators,class,,,,1.1.1.1,TEXT - AgencyClass
73,protocolSection.oversightModule,OversightModule,N,N,N,STRUCT,N,,Oversight Module,,,2,protocolSection,oversightModule,,,,,,1.1,STRUCT - OversightModule
74,protocolSection.oversightModule.oversightHasDmc,OversightHasDMC,N,N,Y,BOOLEAN,N,,Has Data Monitoring Committee (DMC),,Marked as [Missing] for Withheld studies,3,protocolSection,oversightModule,oversightHasDmc,,,,,1.1.1,BOOLEAN - boolean
75,protocolSection.oversightModule.isFdaRegulatedDrug,IsFDARegulatedDrug,N,N,Y,BOOLEAN,N,,Is FDA Regulated Drug,,Required for INT/FRED. Marked as [Missing] for Withheld studies,3,protocolSection,oversightModule,isFdaRegulatedDrug,,,,,1.1.1,BOOLEAN - boolean
76,protocolSection.oversightModule.isFdaRegulatedDevice,IsFDARegulatedDevice,N,N,Y,BOOLEAN,N,,Is FDA Regulated Device,,Required for INT/FRED. Marked as [Missing] for Withheld studies,3,protocolSection,oversightModule,isFdaRegulatedDevice,,,,,1.1.1,BOOLEAN - boolean
77,protocolSection.oversightModule.isUnapprovedDevice,IsUnapprovedDevice,N,N,Y,BOOLEAN,N,,Is Unapproved Device,,Required for INT/FRED. Marked as [Missing] for Withheld studies,3,protocolSection,oversightModule,isUnapprovedDevice,,,,,1.1.1,BOOLEAN - boolean
78,protocolSection.oversightModule.isPpsd,IsPPSD,N,N,Y,BOOLEAN,N,,Pediatric Postmarket Surveillance of a Device Product,,"Required only if this study is a pediatric postmarket surveillance of a device product ordered by the U.S. FDA.
 Marked as [Missing] for Withheld studies",3,protocolSection,oversightModule,isPpsd,,,,,1.1.1,BOOLEAN - boolean
79,protocolSection.oversightModule.isUsExport,IsUSExport,N,N,Y,BOOLEAN,N,,Product Exported from US,,"Required if U.S. FDA-regulated Drug and/or U.S. FDA-regulated Device is ""Yes,"" U.S. FDA IND or IDE is ""No"", and Facility Information does not include at least one U.S. location.
 Marked as [Missing] for Withheld studies",3,protocolSection,oversightModule,isUsExport,,,,,1.1.1,BOOLEAN - boolean
80,protocolSection.oversightModule.fdaaa801Violation,FDAAA801Violation,N,N,Y,BOOLEAN,N,,,,,3,protocolSection,oversightModule,fdaaa801Violation,,,,,1.1.1,BOOLEAN - boolean
81,protocolSection.descriptionModule,DescriptionModule,Y,N,N,STRUCT,N,,Description Module,,,2,protocolSection,descriptionModule,,,,,,1.1,STRUCT - DescriptionModule
82,protocolSection.descriptionModule.briefSummary,BriefSummary,Y,N,Y,MARKUP,N,5000,Brief Summary,,Required for INT/OBS/EA. Redacted for Withheld studies,3,protocolSection,descriptionModule,briefSummary,,,,,1.1.1,MARKUP (max 5000 chars) - markup
83,protocolSection.descriptionModule.detailedDescription,DetailedDescription,Y,N,Y,MARKUP,N,32000,Detailed Description,,,3,protocolSection,descriptionModule,detailedDescription,,,,,1.1.1,MARKUP (max 32000 chars) - markup
84,protocolSection.conditionsModule,ConditionsModule,Y,N,N,STRUCT,N,,Conditions Module,,,2,protocolSection,conditionsModule,,,,,,1.1,STRUCT - ConditionsModule
85,protocolSection.conditionsModule.conditions,Condition,Y,Y,Y,TEXT,N,160,Condition/Disease,,"Required for INT/OBS. Redacted for Withheld studies. Optional for EA if EA type is ""individual patient""",3,protocolSection,conditionsModule,conditions,,,,,1.1.1,TEXT (max 160 chars) - text[]
86,protocolSection.conditionsModule.keywords,Keyword,Y,Y,Y,TEXT,N,,Keyword,,,3,protocolSection,conditionsModule,keywords,,,,,1.1.1,TEXT - text[]
87,protocolSection.designModule,DesignModule,Y,N,N,STRUCT,N,,Design Module,,,2,protocolSection,designModule,,,,,,1.1,STRUCT - DesignModule
88,protocolSection.designModule.studyType,StudyType,Y,N,Y,TEXT,Y,,Study Type,,Required. Marked as [Missing] for Withheld studies,3,protocolSection,designModule,studyType,,,,,1.1.1,TEXT - StudyType
89,protocolSection.designModule.nPtrsToThisExpAccNctId,NPtrsToThisExpAccNCTId,N,N,Y,NUMERIC,N,,Number of References to an Expanded Access Study,Number of studies that reference this EA study,Internally calculated,3,protocolSection,designModule,nPtrsToThisExpAccNctId,,,,,1.1.1,NUMERIC - number
90,protocolSection.designModule.expandedAccessTypes,ExpandedAccessTypes,N,N,N,STRUCT,N,,Expanded Access Type,"The type(s) of expanded access for which the investigational drug product (including a biological product) is available, as specified in U.S. FDA regulations",Required for EA,3,protocolSection,designModule,expandedAccessTypes,,,,,1.1.1,STRUCT - ExpandedAccessTypes
91,protocolSection.designModule.expandedAccessTypes.individual,ExpAccTypeIndividual,N,N,Y,BOOLEAN,N,,Individual Patients,"For individual participants, including for emergency use, as specified in 21 CFR 312.310. Allows a single patient, with a serious disease or condition who cannot participate in a clinical trial, access to a drug or biological product that has not been approved by the FDA. This category also includes access in an emergency situation.",,4,protocolSection,designModule,expandedAccessTypes,individual,,,,1.1.1.1,BOOLEAN - boolean
92,protocolSection.designModule.expandedAccessTypes.intermediate,ExpAccTypeIntermediate,N,N,Y,BOOLEAN,N,,Intermediate-type Population,"For intermediate-size participant populations, as specified in 21 CFR 312.315. Allows more than one patient (but generally fewer patients than through a Treatment IND/Protocol) access to a drug or biological product that has not been approved by the FDA. This type of expanded access is used when multiple patients with the same disease or condition seek access to a specific drug or biological product that has not been approved by the FDA.",,4,protocolSection,designModule,expandedAccessTypes,intermediate,,,,1.1.1.1,BOOLEAN - boolean
93,protocolSection.designModule.expandedAccessTypes.treatment,ExpAccTypeTreatment,N,N,Y,BOOLEAN,N,,Treatment IND/Protocol,"Under a treatment IND or treatment protocol, as specified in 21 CFR 312.320. Allows a large, widespread population access to a drug or biological product that has not been approved by the FDA. This type of expanded access can only be provided if the product is already being developed for marketing for the same use as the expanded access use.",,4,protocolSection,designModule,expandedAccessTypes,treatment,,,,1.1.1.1,BOOLEAN - boolean
