[1] NCTID: NCT03899961, PMID: 34745566, PMCID: 8561611
[114] NCTID: NCT04929262, PMID: 34556182, PMCID: 8460198
[115] NCTID: NCT04189588, PMID: 34555839, PMCID: 8565502
[116] NCTID: NCT04136145, PMID: 34554352, PMCID: 8572285
[117] NCTID: NCT04844021, PMID: 34551811, PMCID: 8456701
[118] NCTID: NCT03931382, PMID: 34550072, PMCID: 8495586
[119] NCTID: NCT02557100, PMID: 34537057, PMCID: 8449494
[120] NCTID: NCT03870997, PMID: 34535755, PMCID: 8448887
[121] NCTID: NCT03656744, PMID: 34535644, PMCID: 8448729
[122] NCTID: NCT02668016, PMID: 34531021, PMCID: 8453640
[123] NCTID: NCT03512288, PMID: 34525007, PMCID: 8443440
[124] NCTID: NCT02064959, PMID: 34518968, PMCID: 8964656
[125] NCTID: NCT03981822, PMID: 34515985, PMCID: 8436872
[126] NCTID: NCT04050722, PMID: 34511098, PMCID: 8436562
[127] NCTID: NCT03285243, PMID: 34496743, PMCID: 8424999
[128] NCTID: NCT02164578, PMID: 34495376, PMCID: 8563606
[129] NCTID: NCT02878343, PMID: 34491350, PMCID: 8424479
[130] NCTID: NCT02869646, PMID: 34488824, PMCID: 8419889
[131] NCTID: NCT03220217, PMID: 34487283, PMCID: 8421477
[132] NCTID: NCT03292809, PMID: 34481407, PMCID: 8423142
[133] NCTID: NCT03403517, PMID: 34480563, PMCID: 8418207
[134] NCTID: NCT01898923, PMID: 34477854, PMCID: 8417758
[135] NCTID: NCT01976650, PMID: 34475750, PMCID: 8407780
[136] NCTID: NCT04178941, PMID: 34473258, PMCID: 8414187
[137] NCTID: NCT04472611, PMID: 34461322, PMCID: 8397504
[138] NCTID: NCT04682730, PMID: 34454637, PMCID: 8401236
[139] NCTID: NCT04433091, PMID: 34454591, PMCID: 8403349
[140] NCTID: NCT03009019, PMID: 34447267, PMCID: 8382884
[141] NCTID: NCT01270516, PMID: 34446067, PMCID: 8390080
[142] NCTID: NCT01152307, PMID: 34445969, PMCID: 8394109
[143] NCTID: NCT03321097, PMID: 34437410, PMCID: 8402581
[144] NCTID: NCT04620798, PMID: 34418958, PMCID: 8380110
[145] NCTID: NCT04644328, PMID: 34413518, PMCID: 8440209
[146] NCTID: NCT02126579, PMID: 34413169, PMCID: 8378357
[147] NCTID: NCT04455815, PMID: 34412682, PMCID: 8375281
[148] NCTID: NCT04748341, PMID: 34407810, PMCID: 8371841
[149] NCTID: NCT04355767, PMID: 34407339, PMCID: 8385553
[150] NCTID: NCT03248531, PMID: 34406364, PMCID: 8374742
[151] NCTID: NCT02808975, PMID: 34406349, PMCID: 8374740
[152] NCTID: NCT03765788, PMID: 34404463, PMCID: 8369438
[153] NCTID: NCT03631732, PMID: 34397746, PMCID: 8357046
[154] NCTID: NCT02903966, PMID: 34389633, PMCID: 8365785
[155] NCTID: NCT02626455, PMID: 34389273, PMCID: 9407680
[156] NCTID: NCT03738332, PMID: 34387119, PMCID: 8366198
[157] NCTID: NCT02319837, PMID: 34385241, PMCID: 8362713
[158] NCTID: NCT04073368, PMID: 34382947, PMCID: 8631161
[159] NCTID: NCT04677504, PMID: 34377158, PMCID: 8326820
[160] NCTID: NCT04663802, PMID: 34376233, PMCID: 8353429
[161] NCTID: NCT01951105, PMID: 34374961, PMCID: 8586405
[162] NCTID: NCT01813071, PMID: 34374425, PMCID: 8687094
[163] NCTID: NCT04238663, PMID: 34374114, PMCID: 9291832
[164] NCTID: NCT04162899, PMID: 34374027, PMCID: 8351769
[165] NCTID: NCT04692467, PMID: 34351939, PMCID: 8341523
[166] NCTID: NCT02718326, PMID: 34351414, PMCID: 8343518
[167] NCTID: NCT03738397, PMID: 34347860, PMCID: 8340015
[168] NCTID: NCT04676165, PMID: 34345805, PMCID: 8325487
[169] NCTID: NCT02760368, PMID: 34344706, PMCID: 8921576
[170] NCTID: NCT03714425, PMID: 34335055, PMCID: 8318714
[171] NCTID: NCT02453191, PMID: 34330766, PMCID: 8327848
[172] NCTID: NCT04821960, PMID: 34328428, PMCID: 8367123
[173] NCTID: NCT03227224, PMID: 34324636, PMCID: 8653874
[174] NCTID: NCT01914393, PMID: 34324397, PMCID: 8568779
[175] NCTID: NCT03687827, PMID: 34322967, PMCID: 9290717
[176] NCTID: NCT04728594, PMID: 34319359, PMCID: 8319759
[177] NCTID: NCT02519348, PMID: 34292792, PMCID: 8445563
[178] NCTID: NCT03287310, PMID: 34292606, PMCID: 9290054
[179] NCTID: NCT03911401, PMID: 34289086, PMCID: 9298328
[180] NCTID: NCT02719743, PMID: 34285165, PMCID: 8357047
[181] NCTID: NCT01801007, PMID: 34282038, PMCID: 9120407
[182] NCTID: NCT04120363, PMID: 34278044, PMCID: 8264529
[183] NCTID: NCT04389762, PMID: 34277679, PMCID: 8277995
[184] NCTID: NCT03314688, PMID: 34274495, PMCID: 10424280
[185] NCTID: NCT02781727, PMID: 34272849, PMCID: 8530727
[186] NCTID: NCT04238650, PMID: 34269848, PMCID: 8367884
[187] NCTID: NCT04737031, PMID: 34266468, PMCID: 8281481
[188] NCTID: NCT02810457, PMID: 34264503, PMCID: 8295151
[189] NCTID: NCT02785952, PMID: 34264316, PMCID: 8283667
[190] NCTID: NCT04502056, PMID: 34259846, PMCID: 8280971
[191] NCTID: NCT03856320, PMID: 34258469, PMCID: 8256180
[192] NCTID: NCT02581137, PMID: 34255745, PMCID: 8492350
[193] NCTID: NCT03799198, PMID: 34255049, PMCID: 8278271
[194] NCTID: NCT03332173, PMID: 34253577, PMCID: 9401548
[195] NCTID: NCT02993757, PMID: 34250977, PMCID: 8274580
[196] NCTID: NCT03563027, PMID: 34241628, PMCID: 8271358
[197] NCTID: NCT02799381, PMID: 34236101, PMCID: 9292774
[198] NCTID: NCT04155047, PMID: 34232493, PMCID: 8260570
[199] NCTID: NCT03836677, PMID: 34210340, PMCID: 8247252
[200] NCTID: NCT04330989, PMID: 34193491, PMCID: 8246367
[201] NCTID: NCT03037203, PMID: 34191352, PMCID: 8596433
[202] NCTID: NCT04418947, PMID: 34190999, PMCID: 8246312
[203] NCTID: NCT02978326, PMID: 34190962, PMCID: 8246337
[204] NCTID: NCT03618030, PMID: 34189995, PMCID: 8859679
[205] NCTID: NCT03489707, PMID: 34187833, PMCID: 8245463
[206] NCTID: NCT02416011, PMID: 34175001, PMCID: 8281505
[207] NCTID: NCT03448692, PMID: 34169203, PMCID: 8207305
[208] NCTID: NCT04093024, PMID: 34164554, PMCID: 8215331
[209] NCTID: NCT03860974, PMID: 34158376, PMCID: 8380889
[210] NCTID: NCT03047395, PMID: 34157132, PMCID: 9290992
[211] NCTID: NCT02502097, PMID: 34152585, PMCID: 8589896
[212] NCTID: NCT03816761, PMID: 34146238, PMCID: 8266971
[213] NCTID: NCT02030288, PMID: 34145518, PMCID: 8212899
[214] NCTID: NCT02535338, PMID: 34140248, PMCID: 9239707
[215] NCTID: NCT01515748, PMID: 34133211, PMCID: 8425847
[216] NCTID: NCT03341637, PMID: 34131423, PMCID: 8196333
[217] NCTID: NCT04409353, PMID: 34130965, PMCID: 8207994
[218] NCTID: NCT03559179, PMID: 34130758, PMCID: 8207778
[219] NCTID: NCT04353596, PMID: 34126053, PMCID: 8195495
[220] NCTID: NCT01743989, PMID: 34123791, PMCID: 8189147
[221] NCTID: NCT02601560, PMID: 34121413, PMCID: 8403308
[222] NCTID: NCT03703882, PMID: 34120912, PMCID: 8543277
[223] NCTID: NCT02992418, PMID: 34117198, PMCID: 8357045
[224] NCTID: NCT02294734, PMID: 34113093, PMCID: 8184151
[225] NCTID: NCT02958917, PMID: 34109243, PMCID: 8181708
[226] NCTID: NCT02993783, PMID: 34108672, PMCID: 8486663
[227] NCTID: NCT02315352, PMID: 34106922, PMCID: 8216518
[228] NCTID: NCT03015129, PMID: 34103352, PMCID: 8190057
[229] NCTID: NCT03806491, PMID: 34103317, PMCID: 8190049
[230] NCTID: NCT03459794, PMID: 34090504, PMCID: 8179708
[231] NCTID: NCT01181076, PMID: 34078971, PMCID: 8172574
[232] NCTID: NCT03985852, PMID: 34078380, PMCID: 8170651
[233] NCTID: NCT02513459, PMID: 34077509, PMCID: 8684487
[234] NCTID: NCT03390101, PMID: 34060012, PMCID: 8322379
[235] NCTID: NCT03378479, PMID: 34050768, PMCID: 8164057
[236] NCTID: NCT03038113, PMID: 34037271, PMCID: 9291828
[237] NCTID: NCT04005053, PMID: 34036177, PMCID: 8143039
[238] NCTID: NCT03474081, PMID: 34035312, PMCID: 8149706
[239] NCTID: NCT01747915, PMID: 34033265, PMCID: 8166786
[240] NCTID: NCT02336178, PMID: 34032739, PMCID: 8154445
[241] NCTID: NCT03947333, PMID: 34032578, PMCID: 8188319
[242] NCTID: NCT04503681, PMID: 34031118, PMCID: 8149444
[243] NCTID: NCT03397394, PMID: 34030643, PMCID: 8147008
[244] NCTID: NCT03506815, PMID: 34027291, PMCID: 8116834
[245] NCTID: NCT03471975, PMID: 34024186, PMCID: 8142538
[246] NCTID: NCT03442114, PMID: 34018965, PMCID: 8178738
[247] NCTID: NCT03235050, PMID: 34016612, PMCID: 8247525
[248] NCTID: NCT03492216, PMID: 34016158, PMCID: 8136096
[249] NCTID: NCT02957747, PMID: 34013470, PMCID: 8971224
[250] NCTID: NCT02497612, PMID: 34011358, PMCID: 8135182
[251] NCTID: NCT03282227, PMID: 34001002, PMCID: 8127195
[252] NCTID: NCT03292016, PMID: 33991326, PMCID: 8571442
[253] NCTID: NCT02980692, PMID: 33985942, PMCID: 8372392
[254] NCTID: NCT03552575, PMID: 33983794, PMCID: 8284373
[255] NCTID: NCT04523831, PMID: 33983065, PMCID: 8127799
[256] NCTID: NCT03159091, PMID: 33981141, PMCID: 8107011
[257] NCTID: NCT03861871, PMID: 33979451, PMCID: 8360137
[258] NCTID: NCT04340557, PMID: 33977506, PMCID: 8112834
[259] NCTID: NCT02385097, PMID: 33976374, PMCID: 8113228
[260] NCTID: NCT03253393, PMID: 33973914, PMCID: 8132605
[261] NCTID: NCT03537014, PMID: 33972795, PMCID: 8205851
[262] NCTID: NCT03585712, PMID: 33970869, PMCID: 8262664
[263] NCTID: NCT03190369, PMID: 33964907, PMCID: 8106861
[264] NCTID: NCT03332212, PMID: 33960149, PMCID: 8318430
[265] NCTID: NCT04493281, PMID: 33955162, PMCID: 8518908
[266] NCTID: NCT03851588, PMID: 33954265, PMCID: 8063551
[267] NCTID: NCT01948947, PMID: 33953315, PMCID: 8100290
[268] NCTID: NCT02764385, PMID: 33947346, PMCID: 8097804
[269] NCTID: NCT03972163, PMID: 33941089, PMCID: 8091786
[270] NCTID: NCT03413891, PMID: 33939696, PMCID: 8128271
[271] NCTID: NCT03401190, PMID: 33939666, PMCID: 8104014
[272] NCTID: NCT03291080, PMID: 33919763, PMCID: 8070696
[273] NCTID: NCT03296163, PMID: 33914256, PMCID: 8295170
[274] NCTID: NCT01653509, PMID: 33913104, PMCID: 8163941
[275] NCTID: NCT03968978, PMID: 33907423, PMCID: 8064619
[276] NCTID: NCT04533815, PMID: 33906631, PMCID: 8076882
[277] NCTID: NCT04463251, PMID: 33902621, PMCID: 8074403
[278] NCTID: NCT04335279, PMID: 33899008, PMCID: 8051930
[279] NCTID: NCT01778465, PMID: 33892819, PMCID: 8063291
[280] NCTID: NCT04129346, PMID: 33890857, PMCID: 8105756
[281] NCTID: NCT03750968, PMID: 33888136, PMCID: 8063287
[282] NCTID: NCT02187991, PMID: 33877311, PMCID: 8058641
[283] NCTID: NCT02292654, PMID: 33875845, PMCID: 8354848
[284] NCTID: NCT03922750, PMID: 33875485, PMCID: 8323191
[285] NCTID: NCT03951805, PMID: 33875484, PMCID: 8323172
[286] NCTID: NCT04170686, PMID: 33872182, PMCID: 8176342
[287] NCTID: NCT04567888, PMID: 33871377, PMCID: 8094018
[288] NCTID: NCT01479426, PMID: 33871063, PMCID: 8094213
[289] NCTID: NCT04010747, PMID: 33868061, PMCID: 8047061
[290] NCTID: NCT03328897, PMID: 33865434, PMCID: 8052813
[291] NCTID: NCT02646371, PMID: 33862589, PMCID: 8054157
[292] NCTID: NCT03446313, PMID: 33861204, PMCID: 8087971
[293] NCTID: NCT03633903, PMID: 33858395, PMCID: 8050904
[294] NCTID: NCT03705494, PMID: 33849582, PMCID: 8045301
[295] NCTID: NCT03546842, PMID: 33844623, PMCID: 8189095
[296] NCTID: NCT03959683, PMID: 33843245, PMCID: 8558064
[297] NCTID: NCT01877655, PMID: 33842870, PMCID: 8020145
[298] NCTID: NCT02096029, PMID: 33828613, PMCID: 8023690
[299] NCTID: NCT04531462, PMID: 33827843, PMCID: 8031078
[300] NCTID: NCT03084237, PMID: 33826080, PMCID: 8084805
[301] NCTID: NCT03865316, PMID: 33823811, PMCID: 8022390
[302] NCTID: NCT04295356, PMID: 33822406, PMCID: 8597139
[303] NCTID: NCT03205371, PMID: 33814028, PMCID: 8080229
[304] NCTID: NCT02757625, PMID: 33813550, PMCID: 8565507
[305] NCTID: NCT01639131, PMID: 33811727, PMCID: 8212722
[306] NCTID: NCT03567343, PMID: 33809544, PMCID: 8000032
[307] NCTID: NCT04570670, PMID: 33797063, PMCID: 8144082
[308] NCTID: NCT03352245, PMID: 33794808, PMCID: 8015735
[309] NCTID: NCT03594747, PMID: 33792623, PMCID: 8017481
[310] NCTID: NCT02615171, PMID: 33792547, PMCID: 8050748
[311] NCTID: NCT04575324, PMID: 33789642, PMCID: 8010496
[312] NCTID: NCT02425644, PMID: 33779698, PMCID: 8008435
[313] NCTID: NCT03852550, PMID: 33771833, PMCID: 8006854
[314] NCTID: NCT03935217, PMID: 33768237, PMCID: 8442793
[315] NCTID: NCT01850524, PMID: 33763699, PMCID: 8462404
[316] NCTID: NCT04320823, PMID: 33760230, PMCID: 8251497
[317] NCTID: NCT03179319, PMID: 33759792, PMCID: 8074990
[318] NCTID: NCT03374956, PMID: 33759389, PMCID: 8168710
[319] NCTID: NCT02808897, PMID: 33757537, PMCID: 7986555
[320] NCTID: NCT04096001, PMID: 33755028, PMCID: 8074987
[321] NCTID: NCT04760444, PMID: 33752609, PMCID: 7983198
[322] NCTID: NCT02034552, PMID: 33744812, PMCID: 7985394
[323] NCTID: NCT03474549, PMID: 33739136, PMCID: 8078128
[324] NCTID: NCT01447628, PMID: 33735594, PMCID: 8456720
[325] NCTID: NCT01323309, PMID: 33732196, PMCID: 7959844
[326] NCTID: NCT02759185, PMID: 33730032, PMCID: 7968689
[327] NCTID: NCT02858492, PMID: 33726834, PMCID: 7962407
[328] NCTID: NCT02828982, PMID: 33726802, PMCID: 7962267
[329] NCTID: NCT02111746, PMID: 33724391, PMCID: 7967071
[330] NCTID: NCT03281577, PMID: 33711180, PMCID: 8251541
[331] NCTID: NCT02749006, PMID: 33710288, PMCID: 7955269
[332] NCTID: NCT04238429, PMID: 33706750, PMCID: 7948367
[333] NCTID: NCT01970540, PMID: 33704620, PMCID: 8426303
[334] NCTID: NCT02997163, PMID: 33686631, PMCID: 8249284
[335] NCTID: NCT03405935, PMID: 33686573, PMCID: 8116430
[336] NCTID: NCT01979536, PMID: 33684925, PMCID: 8462406
[337] NCTID: NCT02566265, PMID: 33683337, PMCID: 7948269
[338] NCTID: NCT02791516, PMID: 33677928, PMCID: 7937846
[339] NCTID: NCT04327388, PMID: 33676590, PMCID: 8078879
[340] NCTID: NCT02804594, PMID: 33675156, PMCID: 8045913
[341] NCTID: NCT03313050, PMID: 33661716, PMCID: 8475590
[342] NCTID: NCT04424888, PMID: 33661120, PMCID: 7974765
[343] NCTID: NCT01387607, PMID: 33658841, PMCID: 7920593
[344] NCTID: NCT01497808, PMID: 33643689, PMCID: 7872096
[345] NCTID: NCT02301611, PMID: 33641012, PMCID: 7914039
[346] NCTID: NCT03163264, PMID: 33637544, PMCID: 7919589
[347] NCTID: NCT03658954, PMID: 33635276, PMCID: 7954653
[348] NCTID: NCT04366050, PMID: 33631357, PMCID: 7899027
[349] NCTID: NCT03844945, PMID: 33629227, PMCID: 8004483
[350] NCTID: NCT03339206, PMID: 33625509, PMCID: 7905497
[351] NCTID: NCT03335371, PMID: 33622669, PMCID: 7985421
[352] NCTID: NCT03229811, PMID: 33619188, PMCID: 7903110
[353] NCTID: NCT02163902, PMID: 33617632, PMCID: 8520020
[354] NCTID: NCT03018938, PMID: 33616875, PMCID: 7947078
[355] NCTID: NCT03373435, PMID: 33616643, PMCID: 8277203
[356] NCTID: NCT02481505, PMID: 33610175, PMCID: 7896357
[357] NCTID: NCT03387735, PMID: 33605887, PMCID: 7935655
[358] NCTID: NCT02879383, PMID: 33597157, PMCID: 8761999
[359] NCTID: NCT02357342, PMID: 33593448, PMCID: 7885608
[360] NCTID: NCT03822416, PMID: 33593332, PMCID: 7886429
[361] NCTID: NCT03991013, PMID: 36017341, PMCID: 9372637
[362] NCTID: NCT03699709, PMID: 33588808, PMCID: 7883757
[363] NCTID: NCT04497389, PMID: 33574155, PMCID: 7880092
[364] NCTID: NCT03799952, PMID: 33573594, PMCID: 7879524
[365] NCTID: NCT03559400, PMID: 33568230, PMCID: 7874655
[366] NCTID: NCT03726320, PMID: 33568208, PMCID: 7876807
[367] NCTID: NCT02577016, PMID: 33565686, PMCID: 8248366
[368] NCTID: NCT02990910, PMID: 33557762, PMCID: 7869251
[369] NCTID: NCT02923921, PMID: 33555926, PMCID: 8078437
[370] NCTID: NCT01782378, PMID: 33551948, PMCID: 7859640
[371] NCTID: NCT04622943, PMID: 33549072, PMCID: 7866873
[372] NCTID: NCT03810534, PMID: 33546737, PMCID: 7863858
[373] NCTID: NCT02860546, PMID: 33544407, PMCID: 7926002
[374] NCTID: NCT02758626, PMID: 33538404, PMCID: 7951093
[375] NCTID: NCT03194698, PMID: 33536740, PMCID: 7850425
[376] NCTID: NCT02380703, PMID: 33530695, PMCID: 10624070
[377] NCTID: NCT02698241, PMID: 33527654, PMCID: 8006696
[378] NCTID: NCT01856309, PMID: 33526709, PMCID: 7852950
[379] NCTID: NCT01753310, PMID: 33524060, PMCID: 7850472
[380] NCTID: NCT02906709, PMID: 33512755, PMCID: 8248035
[381] NCTID: NCT02203851, PMID: 33512666, PMCID: 8018913
[382] NCTID: NCT02096471, PMID: 33507822, PMCID: 8078274
[383] NCTID: NCT02254278, PMID: 33507809, PMCID: 8078254
[384] NCTID: NCT03970824, PMID: 33503313, PMCID: 8301575
[385] NCTID: NCT03434275, PMID: 33502533, PMCID: 8185557
[386] NCTID: NCT03378921, PMID: 33501942, PMCID: 8528148
[387] NCTID: NCT02462759, PMID: 33501671, PMCID: 8248061
[388] NCTID: NCT02058706, PMID: 33496795, PMCID: 7838941
[389] NCTID: NCT04390022, PMID: 33495752, PMCID: 7816625
[390] NCTID: NCT04341584, PMID: 33493450, PMCID: 7825875
[391] NCTID: NCT02919696, PMID: 33492568, PMCID: 7935732
[392] NCTID: NCT03113916, PMID: 33488511, PMCID: 7821047
[393] NCTID: NCT03713086, PMID: 33487468, PMCID: 7825876
[394] NCTID: NCT02610777, PMID: 33483617, PMCID: 8257476
[395] NCTID: NCT02784821, PMID: 33479274, PMCID: 7820285
[396] NCTID: NCT01990703, PMID: 33478494, PMCID: 7818753
[397] NCTID: NCT02845674, PMID: 33469259, PMCID: 7811471
[398] NCTID: NCT03364751, PMID: 33459599, PMCID: 7850905
[399] NCTID: NCT03162783, PMID: 33450164, PMCID: 8106247
[400] NCTID: NCT03183908, PMID: 33443580, PMCID: 7809592
[401] NCTID: NCT02996305, PMID: 33443117, PMCID: 8055330
[402] NCTID: NCT03388268, PMID: 33441409, PMCID: 7845614
[403] NCTID: NCT03005288, PMID: 33439265, PMCID: 7807292
[404] NCTID: NCT03104205, PMID: 33435877, PMCID: 7801868
[405] NCTID: NCT03169881, PMID: 33432157, PMCID: 7797706
[406] NCTID: NCT03119259, PMID: 33431027, PMCID: 7798342
[407] NCTID: NCT04284553, PMID: 33413494, PMCID: 7792313
[408] NCTID: NCT03688100, PMID: 33412562, PMCID: 7790529
[409] NCTID: NCT03837496, PMID: 33397667, PMCID: 7783524
[410] NCTID: NCT03333057, PMID: 33369937, PMCID: 8330824
